Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,buildLow56,964202.4,964202.4,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,buildLow44,2108139.26,2108139.26,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,buildHigh,34248.15,34248.15,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,electric,9963,9963,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,roads,2013714,2013714,0,0.00
2.3_future_breaches,2.3,future,breaches,Qambar Shahdadkot,Dmg,hydraulic,182520,182520,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,crop,4.77,4.77,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,buildLow56,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,buildLow44,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,roads,300,300,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Exp,hydraulic,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,crop,89.1,89.1,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,buildLow56,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,buildLow44,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,buildHigh,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,telecom,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,electric,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,railways,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,hospitals,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,bhu,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,schools,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,roads,0,0,0,0.00
2.3_future_breaches,2.3,future,breaches,Shikarpur,Dmg,hydraulic,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,crop,32347.08,32347.08,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,buildLow56,2417688,2417688,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,buildLow44,1899612,1899612,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,buildHigh,565200,565200,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,telecom,11,11,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,electric,67050,67050,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,railways,6960,6960,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,hospitals,2,2,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,bhu,4,4,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,schools,18,18,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,roads,215460,215460,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Exp,hydraulic,43110,43110,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,crop,45495776.7,45495776.7,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,buildLow56,51652036.8,51652036.8,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,buildLow44,114411889.15,114411889.15,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,buildHigh,19041567.75,19041567.75,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,telecom,139167.78,139167.78,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,electric,309906,309906,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,railways,16219350,16219350,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,hospitals,64288.14,64288.14,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,bhu,41272.6,41272.6,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,schools,265018.64,265018.64,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,roads,8773056,8773056,0,0.00
2.3_future_perfect,2.3,future,perfect,TOTAL,Dmg,hydraulic,621540,621540,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,crop,11634.93,11634.93,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,buildLow56,1123416,1123416,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,buildLow44,882684,882684,0,0.00
